file_id,child_id,age_months,mlu,brown_stage,vocd,mattr,w2v_score
94,Sarah,31.17,1.14,I,66.34249138410148,0.5944186046511627,-0.7872579
95,Sarah,31.4,1.86,I,69.25261900861862,0.5873360655737705,-0.86084175
96,Sarah,31.6,1.15,I,39.51584540789186,0.576353591160221,-1.1465344
97,Sarah,31.93,1.38,I,45.24587340653135,0.5414649681528663,-0.61728406
98,Sarah,32.07,1.31,I,49.066941292753285,0.5637704918032787,-0.8756044
99,Sarah,32.83,1.59,I,49.837366956184574,0.4932997481108312,-0.6829872
100,Sarah,32.83,1.96,I,40.996841640542414,0.4561280931586609,-0.5173662
101,Sarah,33.0,1.42,I,52.955363140658086,0.5953264604810997,-0.32335615
102,Sarah,33.2,1.73,I,61.63618767619028,0.5279389312977099,-0.10924122
103,Sarah,33.47,1.16,I,69.49683238161958,0.6222064056939501,-0.412266
104,Sarah,33.67,1.4,I,47.4016512683574,0.5597652582159625,-0.28304306
105,Sarah,33.97,1.77,I,74.62438679070597,0.6916299559471366,-0.49883318
106,Sarah,34.17,2.1,II,51.26446062272993,0.5323478260869565,0.049245775
107,Sarah,34.37,1.58,I,48.4757235277094,0.5717741935483871,0.055606484
108,Sarah,34.67,2.07,II,54.5090023601872,0.5623976608187135,-0.1768339
109,Sarah,34.8,1.7,I,56.57045911045879,0.5860358056265985,-0.36880332
110,Sarah,35.07,2.07,II,45.72526509272501,0.5965237020316027,-0.10562712
111,Sarah,35.57,1.62,I,58.61985441518741,0.5531010452961673,-0.09862128
112,Sarah,35.77,1.64,I,44.09030491010012,0.5532903225806451,-0.41211346
113,Sarah,36.0,1.77,I,54.721937313628985,0.5874897119341563,-0.58717334
114,Sarah,36.6,2.61,III,44.09285639186572,0.5714677640603567,-0.3089513
115,Sarah,36.6,2.26,II,33.400133871366926,0.5274893617021277,-0.15234894
116,Sarah,36.9,2.24,II,93.32208522949868,0.6427777777777778,-0.29872534
117,Sarah,37.1,2.09,II,60.0348681985327,0.6171134020618556,-0.2758421
118,Sarah,37.33,1.72,I,82.94643570429506,0.6307269155206288,-0.25910106
119,Sarah,37.57,1.89,I,61.95726598798971,0.6597093023255813,0.012580991
120,Sarah,37.8,2.39,II,44.631849555996496,0.5648888888888889,0.1312632
121,Sarah,38.07,2.18,II,73.7849783136963,0.6472837022132797,-0.2877261
122,Sarah,38.33,2.31,II,89.61240425890144,0.6901810865191147,-0.097922295
123,Sarah,38.53,2.97,III,76.09960921858953,0.6354961832061069,-0.03139305
124,Sarah,38.77,2.29,II,89.12772054776241,0.6933460076045627,0.067451954
125,Sarah,39.23,2.05,II,78.36391992675935,0.6927868852459016,0.093557835
126,Sarah,39.23,2.53,III,57.25491280441704,0.6398089171974523,0.2070713
127,Sarah,39.43,3.1,IV,25.962592540301696,0.501234221598878,0.29931188
128,Sarah,39.67,2.69,III,61.98952483838817,0.6309574468085106,0.13537854
129,Sarah,39.93,2.03,II,47.268382138806224,0.641505376344086,0.22715461
130,Sarah,40.03,2.66,III,58.04901356647446,0.623920704845815,0.36302197
131,Sarah,40.3,2.57,III,59.34782083949662,0.6117150395778365,0.33061075
132,Sarah,40.53,2.16,II,60.6126263974942,0.6267700258397932,-0.026981235
133,Sarah,40.87,2.33,II,70.01257531726158,0.6135496183206107,-0.047490925
134,Sarah,41.03,2.25,II,67.92523937996816,0.6804395604395604,0.12552178
135,Sarah,41.23,2.74,III,59.73913692855147,0.6368994082840236,0.39730126
136,Sarah,41.43,2.21,II,62.31404898393516,0.6576064908722109,0.22397643
137,Sarah,41.67,2.23,II,64.20007410927163,0.7155772357723577,0.4345582
138,Sarah,42.2,2.79,III,67.18696725631553,0.630436507936508,0.25718176
139,Sarah,42.53,2.96,III,70.2146489874923,0.6522781774580336,0.47449642
140,Sarah,42.77,2.14,II,54.44068337648891,0.6099363057324841,0.23664713
141,Sarah,43.0,3.11,IV,74.99423531939371,0.6079841897233201,0.121751904
142,Sarah,43.3,2.69,III,71.16193390002262,0.6813524590163934,0.08171809
143,Sarah,43.53,3.08,IV,83.52986574704953,0.660431654676259,0.1370138
144,Sarah,43.77,2.83,III,75.49261552189554,0.7008845208845209,0.31084883
145,Sarah,44.0,3.26,IV,57.268258867071445,0.6000963855421687,0.48843634
146,Sarah,44.2,2.87,III,87.42519975674384,0.6599373040752351,0.24807352
147,Sarah,44.4,2.94,III,61.12462162062383,0.6301846965699208,0.2619406
148,Sarah,44.67,2.79,III,71.449502556774,0.6540845070422535,0.16496605
149,Sarah,44.9,2.69,III,79.36244960928093,0.6628937728937729,-0.0067589283
150,Sarah,45.1,2.78,III,64.31321035308282,0.671593533487298,0.48928845
151,Sarah,45.6,1.29,I,71.82945773704705,0.5906542056074766,-0.3125985
