child_id,age_months,mlu,mlum,mluw,ttr,svd_1,svd_2,svd_3,svd_4,svd_5,svd_6,svd_7,svd_8,svd_9,svd_10,score_early_nouns,score_action_words,score_social_words,score_descriptors,score_late_complex,score_cdi,topic_early_nouns,topic_action_words,topic_social_words,topic_descriptors,topic_late_complex,mixture_cluster,mix_prob_1,mix_prob_2,mix_prob_3,mix_prob_4,mix_prob_5,mix_prob_6,mix_prob_7,mix_prob_8
Adam,40.6,3.86,3.86,3.87,0.4,0.6665188630008305,-0.12288099654865797,-0.36485456767029545,0.15324118052410965,0.12335317398817103,-0.04051760079116327,0.025901551583862484,-0.15007867518973528,-0.05253788420302346,0.055659984949680004,0.012237762237762238,0.04695304695304695,0.07992007992007992,0.007742257742257742,0.023226773226773228,0.17432567432567433,6.818066322011873e-05,6.796584784751758e-05,0.9487181305885315,0.05107760429382324,6.816750101279467e-05,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Adam,41.03333333333333,3.27,3.27,3.27,0.3428571428571428,0.6783370726809634,-0.08101356581902068,-0.36234969589202437,0.17875941948606688,0.08981810533828272,-0.047753469406353374,0.01935648940547356,-0.12726496548782043,0.025649180624294693,0.08658328616751951,0.008209745762711865,0.04952330508474576,0.1329449152542373,0.00423728813559322,0.026483050847457626,0.2266949152542373,6.770916661480442e-05,0.015579205937683582,0.9086413383483887,0.0756441056728363,6.769338506273925e-05,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Adam,41.5,3.81,3.81,3.82,0.4057142857142857,0.7118326442151741,-0.11412857085322102,-0.29939243202297444,0.15914149751001233,0.07778946342405053,0.02656447080689752,0.024748470010157685,-0.12004023836681363,0.055399107560573,0.09496975350472135,0.021945627251883395,0.040288241074353096,0.10612512283000328,0.008516213560432362,0.021290533901080905,0.20471667212577793,8.439919474767521e-05,0.004386720713227987,0.865318775177002,0.040610674768686295,0.08959940820932388,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Adam,41.96666666666667,3.47,3.47,3.47,0.3914285714285714,0.7162483655136413,-0.16600423426328925,-0.3422714666332952,0.16075365530080254,0.05145141333749384,0.0472569760301415,-0.036871177532275194,-0.04729211946427573,-0.036915034006568974,0.07840339506336563,0.008841732979664015,0.050397877984084884,0.11730032419687592,0.008547008547008548,0.01768346595932803,0.2295903330386089,8.730746048968285e-05,7.853940041968599e-05,0.9970816969871521,0.002638251520693302,0.00011418256326578557,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Adam,42.3,3.65,3.65,3.65,0.4114285714285714,0.7107827074014725,-0.12720044741970277,-0.2773745047529711,0.19960115831515338,0.07502770010598504,0.03536521822098984,0.08197972023256472,-0.030395173449467187,-0.016927479065925836,0.10227737311801484,0.008295625942684766,0.05203619909502263,0.0863499245852187,0.008672699849170438,0.010558069381598794,0.2209653092006033,0.008799211122095585,0.025334853678941727,0.9029207825660706,0.06284413486719131,0.00010095203469973058,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Adam,43.233333333333334,4.07,4.07,4.07,0.4457142857142857,0.7359622840876986,-0.09665101540265386,-0.3318467949939927,0.16787545053541947,0.09386928380826413,-0.016027608210765508,-0.02641831804544586,-0.04668386913149092,-0.087361012087401,-0.017132927485138106,0.010047095761381476,0.054945054945054944,0.08351648351648351,0.011930926216640502,0.014442700156985872,0.1946624803767661,0.0027979183942079544,0.00609474815428257,0.8668549656867981,0.12113688886165619,0.003115404397249222,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Adam,44.03333333333333,4.03,4.03,4.03,0.3857142857142857,0.6977715216962904,-0.16960149811901593,-0.3412207964808289,0.15757282619696203,0.044043979132800226,-0.01722484975141335,-0.017297253568055455,-0.06410482955940097,-0.01858401097027307,0.009636918926511763,0.003288490284005979,0.04544095665171898,0.09626307922272048,0.009267563527653214,0.024813153961136022,0.2062780269058296,8.184605394490063e-05,8.149389032041654e-05,0.9532972574234009,0.04645766317844391,8.17291293060407e-05,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Adam,44.46666666666667,3.9,3.9,3.91,0.4142857142857143,0.7074385776856463,-0.10864484835548949,-0.26974073484761035,0.17300297648871235,0.026791159617183962,0.019193171400643826,0.0019249693965334154,-0.031836492636374614,-0.014212772512046147,0.056325733662559954,0.011497641509433961,0.038620283018867926,0.09964622641509434,0.009433962264150943,0.024174528301886794,0.19133254716981132,0.010919442400336266,0.04443703964352608,0.8969752192497253,0.04758636653423309,8.195258124032989e-05,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Adam,44.86666666666667,3.78,3.78,3.78,0.3485714285714286,0.6985513978936185,-0.13336811315760716,-0.3345069182130965,0.19196337747738446,0.02529268475801925,0.03615223288549221,0.031644179946650974,-0.004418292344855621,-0.01630043756763811,0.04446526925745405,0.012466124661246613,0.043089430894308944,0.11382113821138211,0.007317073170731708,0.01707317073170732,0.2092140921409214,7.467206160072237e-05,0.005906717851758003,0.9449336528778076,0.04901015758514404,7.474680751329288e-05,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Adam,45.53333333333333,4.37,4.37,4.37,0.36,0.7530053839422133,-0.14395592750880606,-0.32855511451505715,0.18968039399387626,0.03556787311389118,-0.0017886006480730403,0.011999737462615642,0.014626558085642808,0.011620008763607144,-0.028960190649142584,0.007974010632014175,0.05316007088009451,0.08919078558771412,0.008564678086237449,0.02687536916715889,0.20141760189013586,0.010416099801659584,0.024735497310757637,0.8746077418327332,0.08978220075368881,0.0004584352136589587,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Adam,46.5,4.3,4.3,4.34,0.4257142857142857,0.6632337806137513,-0.16996451824929584,-0.29373833994808657,0.21879454337216375,-0.018118903945123173,-0.027760133053853147,0.061534484532612885,0.06525246051733079,-0.07791666998716515,-0.021370906544065496,0.010398613518197574,0.05285961871750433,0.09098786828422877,0.005632582322357019,0.033795493934142114,0.21317157712305027,0.004599284380674362,0.003075783373787999,0.9683128595352173,0.023894527927041054,0.00011754786100937054,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Adam,47.03333333333333,3.31,3.31,3.34,0.4285714285714285,0.6060556120122442,-0.1445511956178136,-0.3137292416759147,0.2135895608368505,0.048595628840374876,0.029459102264213527,0.03111325177689905,0.11292728205679316,0.01093026391650587,0.011107421367176249,0.014555077737347006,0.03671849156467086,0.10453192193185577,0.0039695666556400925,0.023155805491233875,0.2150181938471717,8.733244612812996e-05,8.71768788783811e-05,0.995755136013031,8.788007107796147e-05,0.003982567694038153,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
